name,id,desc,type,access,val
"AHUConfig.Config_AnyFilters_MaskEnable",77,"",BOOL,RW,"0"
"AHUConfig.Config_Select_CoolLowLimInput_MaskText",78,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolLowLimSetPoint_MaskText",79,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolMode_MaskText",80,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolStage1Mode_MaskText",81,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolStage1TXVMode_MaskText",82,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolStage2Mode_MaskText",83,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolStage2TXVMode_MaskText",84,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolStage3Mode_MaskText",85,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolStage3TXVMode_MaskText",86,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolStage4Mode_MaskText",87,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_CoolStage4TXVMode_MaskText",88,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Fan1_Mode_MaskText",89,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Fan2_Mode_MaskText",90,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Fan3_Mode_MaskText",91,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Fan4_Mode_MaskText",92,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Fan5_Mode_MaskText",93,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Fan6_Mode_MaskText",94,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Fan7_Mode_MaskText",95,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Fan8_Mode_MaskText",96,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_OA_Cooling_TXVMode_MaskText",97,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_PreHeat_Mode_MaskText",98,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_ReHeat_Mode_MaskText",99,"AHU Config Mask Selection Screen variable",INT,RW,"0"
"AHUConfig.Config_Select_Remote1_ReHeat_Mode_MaskText",100,"AHU Config Mask Selection Screen variable",INT,RW,"0"
